native_id,met_monitor_id,state,cbsa,latitude,longitude,pct_available
KBUR,76,CA,31084,34.20056,-118.3575,1
KBUY,408,NC,15500,36.04667,-79.47694,0.9889
KBVE,286,LA,35380,29.333,-89.4075,0.9868
KBVO,548,OK,46140,36.7683,-96.0261,1
KBVY,309,MA,37764,42.58417,-70.9175,0.9931
KBWG,272,KY,14540,36.9647,-86.4238,0.9876
KBWI,3,MD,12580,39.1666,-76.6833,1
KBYG,787,WY,99999,44.38139,-106.72111,0.9876
KBYI,208,ID,99999,42.5416,-113.7661,0.9986
KBZN,392,MT,99999,45.788,-111.1608,1
KCAE,603,SC,17900,33.9419,-81.1181,1
KCAG,117,CO,99999,40.49528,-107.52111,0.9945
KCAK,519,OH,10420,40.91667,-81.43333,1
KCAO,476,NM,99999,36.4486,-103.1539,0.9931
KCAR,319,ME,99999,46.8705,-68.0173,0.9986
KCCR,58,CA,36084,37.9917,-122.055,1
KCDC,706,UT,99999,37.7086,-113.0944,1
KCDJ,368,MO,99999,39.82333,-93.57917,1
KCDR,450,NE,99999,42.8375,-103.09528,0.9917
KCDS,654,TX,99999,34.4272,-100.2831,0.9959
KCDW,466,NJ,35084,40.87639,-74.28306,1
KCEU,608,SC,99999,34.67194,-82.88639,0.9931
KCEW,161,FL,18880,30.77972,-86.5225,1
KCEZ,120,CO,99999,37.30306,-108.6275,1
KCGI,371,MO,99999,37.2252,-89.5705,0.9928
KCHA,628,TN,16860,35.03111,-85.20139,1
KCHO,719,VA,16820,38.13861,-78.45306,1
KCHS,600,SC,16700,32.8986,-80.0402,1
KCID,193,IA,16300,41.88444,-91.70861,1
KCKB,769,WV,99999,39.29556,-80.22889,0.9899
KCKV,637,TN,17300,36.62389,-87.41944,1
KCLE,525,OH,17460,41.5175,-81.68361,1
KCLL,642,TX,17780,30.58917,-96.36472,1
KCLM,728,WA,99999,48.12028,-123.49833,0.9917
KCLT,409,NC,16740,35.2236,-80.9552,1
KCMA,77,CA,37100,34.21667,-119.08333,0.9913
KCMH,535,OH,18140,39.99139,-82.88083,1
KCMX,331,MI,99999,47.16861,-88.48889,0.9903
KCNK,257,KS,99999,39.5514,-97.6508,0.9986
KCNM,472,NM,99999,32.3335,-104.258,0.9986
KCNO,78,CA,40140,33.97528,-117.63611,0.9931
KCNU,262,KS,99999,37.67028,-95.48417,0.9959
KCNY,699,UT,99999,38.755,-109.75417,0.9958
KCON,454,NH,99999,43.1952,-71.5011,0.9972
KCOS,108,CO,17820,38.81,-104.6884,1
KCOT,682,TX,99999,28.45667,-99.21833,0.9847
KCOU,367,MO,17860,38.8169,-92.2183,0.9986
KCPR,785,WY,16220,42.8975,-106.46361,1
KCPS,229,IL,41180,38.57139,-90.15722,1
KCQC,469,NM,10740,35.00278,-105.66278,1
KCQT,79,CA,31084,34.0511,-118.2352,0.9972
KCQX,299,MA,12700,41.6875,-69.99333,1
KCRE,602,SC,34820,33.81167,-78.72389,1
KCRG,139,FL,27260,30.3361,-81.5147,0.9986
KCRP,679,TX,18580,27.7742,-97.5122,1
KCRS,658,TX,99999,32.03111,-96.39889,0.9986
KCRW,777,WV,16620,38.3794,-81.59,1
KCSG,185,GA,17980,32.5161,-84.9422,0.9986
KCSM,553,OK,99999,35.21,-99.12,1
KCSV,632,TN,99999,35.9509,-85.0813,1
KCTB,405,MT,99999,48.6033,-112.3752,1
KCTY,162,FL,99999,29.63333,-83.10528,0.9861
KCUB,604,SC,17900,33.97056,-80.99583,0.9986
KCUT,623,SD,99999,43.73306,-103.61139,0.9959
KCVG,271,KY,17140,39.04306,-84.67167,1
KCXO,640,TX,26420,30.35667,-95.41389,0.9958
KCXY,588,PA,49620,40.21722,-76.85139,0.9903
KCYS,779,WY,16940,41.15,-104.81667,1
KCZZ,96,CA,41740,32.6233,-116.4728,1
KD07,614,SD,39660,45.03194,-102.01917,1
KDAB,140,FL,19660,29.1828,-81.0483,1
KDAG,80,CA,40140,34.8536,-116.7858,1
KDAL,667,TX,19124,32.8519,-96.8555,1
KDAN,709,VA,19260,36.5728,-79.3361,0.9972
KDAW,455,NH,40484,43.27806,-70.92222,1
KDAY,533,OH,19380,39.90611,-84.21861,1
KDBQ,197,IA,20220,42.39778,-90.70361,0.9972
KDCU,22,AL,26620,34.6525,-86.94528,1
KDDC,263,KS,99999,37.7686,-99.9678,1
KDDH,720,VT,99999,42.89139,-73.24694,0.9889
KDEC,222,IL,19500,39.83444,-88.86556,0.9957
KDEN,115,CO,19740,39.8328,-104.6575,1
KDET,340,MI,19804,42.40917,-83.01,1
KDEW,729,WA,44060,47.9742,-117.4292,0.9972
KDFI,524,OH,99999,41.3375,-84.42889,0.9917
KDFW,668,TX,19124,32.8978,-97.0189,1
KDGW,782,WY,99999,42.79722,-105.38556,0.9931
KDHN,12,AL,99999,31.32139,-85.44972,0.9972
KDHT,657,TX,99999,36.0167,-102.55,0.9986
KDIK,434,ND,99999,46.7994,-102.7972,0.9945
KDKK,511,NY,99999,42.49333,-79.27222,1
KDLH,352,MN,20260,46.8369,-92.1833,1
KDLN,390,MT,99999,45.2575,-112.5544,0.9916
KDMH,312,MD,12580,39.2814,-76.6089,1
KDMN,478,NM,99999,32.26222,-107.72056,0.9931
KDMO,366,MO,99999,38.70417,-93.18333,1
KDNK,276,LA,99999,31.1136,-92.9656,1
KDNL,182,GA,12260,33.46694,-82.03861,0.9945
KDPA,225,IL,16974,41.91444,-88.24639,0.9959
KDRA,483,NV,99999,36.6206,-116.0278,1
KDRO,118,CO,99999,37.14306,-107.75972,0.9986
KDRT,689,TX,99999,29.3784,-100.927,0.9972
KDSM,205,IA,19780,41.5338,-93.653,1
KDSV,512,NY,40380,42.57083,-77.71333,0.9557
KDTN,284,LA,43340,32.54278,-93.745,1
KDTO,671,TX,19124,33.20611,-97.19889,1
KDTS,163,FL,18880,30.4,-86.47167,0.9917
KDTW,336,MI,19804,42.23139,-83.33083,1
KDUJ,577,PA,99999,41.17833,-78.89889,0.9986
KDVN,207,IA,19340,41.61389,-90.59139,0.9931
KDVT,36,AZ,38060,33.68833,-112.08167,1
KDWH,698,TX,26420,30.0675,-95.55611,1
KDXR,128,CT,14860,41.37139,-73.48278,1
KDYL,592,PA,37964,40.33,-75.1225,0.9945
KEAT,730,WA,48300,47.3977,-120.2013,0.9986
KEAU,754,WI,20740,44.86639,-91.48778,1
KECG,411,NC,99999,36.26056,-76.175,0.9972
KECP,164,FL,37460,30.349,-85.788,0.9972
KEED,81,CA,40140,34.7675,-114.6188,1
KEEO,116,CO,99999,40.04889,-107.88528,0.9972
KEKN,778,WV,99999,38.88528,-79.85278,0.9972
KEKO,489,NV,99999,40.8288,-115.7886,1
KELM,493,NY,21300,42.15944,-76.89194,1
KELN,745,WA,99999,47.03389,-120.53028,0.9945
KELP,652,TX,21340,31.81111,-106.37583,1
KELY,487,NV,99999,39.2952,-114.8466,0.9986
KELZ,510,NY,99999,42.10944,-77.99194,0.9931
KEMP,266,KS,99999,38.33056,-96.18972,1
KEPH,750,WA,99999,47.3078,-119.5154,0.9958
KEQY,412,NC,16740,35.01694,-80.62056,0.9945
KERI,582,PA,21500,42.08,-80.1825,1
KESF,279,LA,10780,31.39278,-92.29556,0.9818
KEST,201,IA,99999,43.4075,-94.74611,1
KEUF,14,AL,99999,31.95139,-85.12889,1
KEUG,573,OR,21660,44.1278,-123.2206,1
KEVV,242,IN,21780,38.0441,-87.5205,0.9972
KEVW,790,WY,99999,41.27306,-111.03056,1
KEWB,298,MA,39300,41.67639,-70.95833,1
KEWN,413,NC,99999,35.0677,-77.048,1
KEWR,464,NJ,35084,40.6825,-74.16944,1
KEYE,237,IN,26900,39.825,-86.29583,0.9972
KEYW,141,FL,99999,24.555,-81.75222,0.9972
KFAR,436,ND,22020,46.92528,-96.81111,1
KFAT,71,CA,23420,36.78,-119.7194,1
KFAY,414,NC,22180,34.99139,-78.88028,1
KFCM,358,MN,33460,44.8321,-93.4705,0.9986
KFDR,549,OK,99999,34.21,-98.59,1
KFDY,520,OH,99999,41.01361,-83.66861,0.9959
KFFC,187,GA,12060,33.35528,-84.56694,1
KFFT,268,KY,99999,38.18472,-84.90333,1
KFHR,731,WA,99999,48.52222,-123.02306,0.9931
KFHU,41,AZ,99999,31.58833,-110.34417,0.9945
KFIG,575,PA,99999,41.04667,-78.41167,1
KFIT,307,MA,49340,42.55194,-71.75583,0.9986
KFLD,765,WI,22540,43.76944,-88.49083,0.9972
KFLG,38,AZ,22380,35.1441,-111.6663,0.9986
KFLL,142,FL,22744,26.0719,-80.1536,1
KFLO,605,SC,22500,34.1852,-79.7238,1
KFMN,482,NM,22140,36.74361,-108.22917,1
KFMY,171,FL,15980,26.585,-81.8614,0.9889
KFNB,437,NE,99999,40.08028,-95.59194,0.9972
KFNT,345,MI,22420,42.96667,-83.74944,0.9986
KFOE,249,KS,45820,38.95028,-95.66389,1
KFOK,508,NY,35004,40.84361,-72.63222,0.9958
KFPR,143,FL,38940,27.49806,-80.37667,0.9986
KFRI,251,KS,31740,39.05,-96.76667,1
